city,state,median_age,male_population,female_population,total_population,number_of_veterans,foreign_born,average_household_size,state_code,race,count
CASAS ADOBES,Arizona,44.8,30890.0,34375.0,65265,6601.0,7024.0,2.24,AZ,Asian,3009
INDIANAPOLIS,Indiana,34.1,410615.0,437808.0,848423,42186.0,72456.0,2.53,IN,American Indian and Alaska Native,8656
SOMERVILLE,Massachusetts,31.0,41028.0,39306.0,80334,2103.0,22292.0,2.43,MA,Black or African-American,7140
BAKERSFIELD,California,30.6,182154.0,191473.0,373627,12284.0,71575.0,3.23,CA,Black or African-American,34240
RENTON,Washington,36.3,52779.0,47468.0,100247,5032.0,28962.0,2.57,WA,Hispanic or Latino,15392
ODESSA,Texas,31.2,61119.0,57861.0,118980,5509.0,15845.0,2.92,TX,American Indian and Alaska Native,1134
BLOOMINGTON,Indiana,23.5,40588.0,43227.0,83815,2368.0,10033.0,2.33,IN,Asian,9801
ELLICOTT CITY,Maryland,42.4,34406.0,36526.0,70932,3856.0,17587.0,2.73,MD,Asian,22551
KENNEWICK,Washington,32.0,38492.0,40411.0,78903,5158.0,8376.0,2.78,WA,White,65228
MONTGOMERY,Alabama,35.4,94582.0,106004.0,200586,14955.0,9337.0,2.41,AL,American Indian and Alaska Native,1277
ROUND ROCK,Texas,34.9,56646.0,59193.0,115839,6804.0,18237.0,3.13,TX,Black or African-American,13636
ALAFAYA,Florida,33.5,39504.0,45760.0,85264,4176.0,15842.0,2.94,FL,Asian,10336
WASHINGTON,District of Columbia,33.8,319705.0,352523.0,672228,25963.0,95117.0,2.24,DC,American Indian and Alaska Native,6130
SANTA FE,New Mexico,44.1,40601.0,43511.0,84112,5083.0,13824.0,2.41,NM,Hispanic or Latino,45884
DELTONA,Florida,39.9,44853.0,43621.0,88474,5664.0,7098.0,2.89,FL,White,75686
MIAMI BEACH,Florida,42.5,48090.0,44221.0,92311,2265.0,49908.0,2.1,FL,Black or African-American,4013
NORTH LAS VEGAS,Nevada,32.2,116350.0,118443.0,234793,17256.0,49815.0,3.31,NV,White,137357
AKRON,Ohio,38.1,96886.0,100667.0,197553,12878.0,10024.0,2.24,OH,Black or African-American,66551
SAN JOSE,California,36.5,518317.0,508602.0,1026919,27269.0,401493.0,3.13,CA,Hispanic or Latino,331232
SAN JOSE,California,36.5,518317.0,508602.0,1026919,27269.0,401493.0,3.13,CA,Asian,385198
LONGMONT,Colorado,36.8,43941.0,48280.0,92221,4925.0,10424.0,2.63,CO,Asian,2255
FALL RIVER,Massachusetts,39.3,43314.0,45456.0,88770,4143.0,14775.0,2.21,MA,White,77242
SAINT PAUL,Minnesota,31.5,149547.0,151293.0,300840,10548.0,56514.0,2.58,MN,Hispanic or Latino,27307
MUNCIE,Indiana,27.4,32446.0,37255.0,69701,2968.0,1062.0,2.35,IN,American Indian and Alaska Native,203
CARMICHAEL,California,41.0,29281.0,33934.0,63215,4225.0,7378.0,2.39,CA,Black or African-American,4675
VICTORVILLE,California,30.6,60989.0,61247.0,122236,7484.0,21959.0,3.47,CA,Black or African-American,26747
MAPLE GROVE,Minnesota,38.6,31780.0,36601.0,68381,2943.0,7645.0,2.64,MN,American Indian and Alaska Native,549
MURFREESBORO,Tennessee,30.2,60704.0,65417.0,126121,5199.0,8948.0,2.6,TN,White,97270
ESCONDIDO,California,33.3,76551.0,74907.0,151458,8110.0,46298.0,3.27,CA,Hispanic or Latino,73793
MILPITAS,California,36.8,40098.0,37519.0,77617,1608.0,39436.0,3.32,CA,Asian,52617
CHATTANOOGA,Tennessee,36.6,83640.0,92957.0,176597,10001.0,10599.0,2.4,TN,Asian,4602
PROVIDENCE,Rhode Island,29.9,89090.0,90114.0,179204,4933.0,53532.0,2.72,RI,White,97885
FAIRFIELD,California,34.7,55550.0,57422.0,112972,8607.0,24503.0,3.14,CA,Hispanic or Latino,32976
TRACY,California,35.5,43156.0,43937.0,87093,3025.0,25410.0,3.42,CA,Asian,16856
TOLEDO,Ohio,36.1,135455.0,144323.0,279778,15286.0,9257.0,2.29,OH,American Indian and Alaska Native,3942
ASHEVILLE,North Carolina,37.9,42100.0,46407.0,88507,4973.0,6630.0,2.18,NC,White,77979
EAU CLAIRE,Wisconsin,32.0,32327.0,35106.0,67433,3261.0,2833.0,2.4,WI,White,62194
WESTMINSTER,Colorado,37.8,54866.0,58251.0,113117,6512.0,11361.0,2.63,CO,Asian,8668
BEAVERTON,Oregon,35.6,47325.0,49252.0,96577,4645.0,18933.0,2.46,OR,Hispanic or Latino,15452
LAKEWOOD,Colorado,37.7,76013.0,76576.0,152589,9988.0,14169.0,2.29,CO,Asian,7340
SAVANNAH,Georgia,30.3,69389.0,76295.0,145684,9717.0,10355.0,2.57,GA,Hispanic or Latino,9734
FAYETTEVILLE,North Carolina,30.7,101051.0,100914.0,201965,28089.0,12863.0,2.5,NC,Black or African-American,90625
FAYETTEVILLE,North Carolina,30.7,101051.0,100914.0,201965,28089.0,12863.0,2.5,NC,American Indian and Alaska Native,6603
HIGHLANDS RANCH,Colorado,39.6,49186.0,53281.0,102467,4840.0,8827.0,2.72,CO,Hispanic or Latino,8393
YUBA CITY,California,34.5,33654.0,33290.0,66944,4706.0,18032.0,2.9,CA,American Indian and Alaska Native,2163
LOUISVILLE/JEFFERSON COUNTY METRO GOVERNMENT,Kentucky,37.5,298451.0,316938.0,615389,39364.0,37875.0,2.45,KY,White,456451
YORBA LINDA,California,45.5,31960.0,36006.0,67966,3171.0,15532.0,3.0,CA,American Indian and Alaska Native,211
BILLINGS,Montana,36.3,52705.0,57565.0,110270,9121.0,3206.0,2.4,MT,White,102522
DENTON,Texas,28.7,62478.0,68569.0,131047,6352.0,18451.0,2.66,TX,White,106278
SILVER SPRING,Maryland,33.8,40601.0,41862.0,82463,1562.0,30908.0,2.6,MD,White,37756
SPRING VALLEY,Nevada,37.0,96808.0,97147.0,193955,10644.0,61072.0,2.79,NV,White,111763
TUSTIN,California,33.4,39511.0,41052.0,80563,2434.0,25034.0,3.27,CA,Black or African-American,2954
KENT,Washington,33.4,61825.0,65137.0,126962,7985.0,38175.0,3.06,WA,White,67918
LONG BEACH,California,34.6,238159.0,236013.0,474172,17463.0,127764.0,2.78,CA,White,277962
JACKSONVILLE,Florida,35.7,419203.0,448828.0,868031,75432.0,85650.0,2.62,FL,Hispanic or Latino,80064
TUSCALOOSA,Alabama,29.1,47293.0,51045.0,98338,3647.0,4706.0,2.67,AL,Asian,2733
ELK GROVE,California,36.1,80057.0,86833.0,166890,7762.0,38693.0,3.34,CA,American Indian and Alaska Native,2020
SAN JOSE,California,36.5,518317.0,508602.0,1026919,27269.0,401493.0,3.13,CA,American Indian and Alaska Native,13776
PARADISE,Nevada,37.2,122784.0,114162.0,236946,14112.0,66712.0,2.65,NV,Asian,28380
HIGH POINT,North Carolina,35.5,51751.0,58077.0,109828,5204.0,16315.0,2.65,NC,White,58004
VICTORVILLE,California,30.6,60989.0,61247.0,122236,7484.0,21959.0,3.47,CA,Asian,7755
SANDY SPRINGS,Georgia,35.4,48570.0,56777.0,105347,3015.0,19837.0,2.4,GA,American Indian and Alaska Native,1574
WICHITA,Kansas,34.6,192354.0,197601.0,389955,23978.0,40270.0,2.56,KS,White,305910
NEW BRAUNFELS,Texas,37.0,33071.0,36852.0,69923,5204.0,5405.0,2.85,TX,Hispanic or Latino,22522
PEARLAND,Texas,33.9,52336.0,59329.0,111665,5621.0,16882.0,3.0,TX,White,73349
MILWAUKEE,Wisconsin,31.6,286315.0,313839.0,600154,20615.0,58321.0,2.51,WI,Hispanic or Latino,110335
VIRGINIA BEACH,Virginia,35.4,222684.0,230061.0,452745,54995.0,38360.0,2.61,VA,White,324924
ROSEVILLE,California,38.4,62591.0,67691.0,130282,8386.0,18161.0,2.72,CA,Asian,18171
UNION CITY,California,38.5,38599.0,35911.0,74510,1440.0,32752.0,3.46,CA,Black or African-American,5508
FAIRFIELD,California,34.7,55550.0,57422.0,112972,8607.0,24503.0,3.14,CA,Asian,22428
LAKELAND,Florida,38.1,47840.0,56570.0,104410,7390.0,11592.0,2.56,FL,American Indian and Alaska Native,288
BOULDER,Colorado,29.0,56342.0,51000.0,107342,4061.0,12993.0,2.24,CO,American Indian and Alaska Native,767
SPARKS,Nevada,36.1,47780.0,48318.0,96098,7315.0,15690.0,2.63,NV,Asian,7915
CHAMPAIGN,Illinois,28.7,43326.0,42760.0,86086,3734.0,12261.0,2.25,IL,Black or African-American,16163
ASHEVILLE,North Carolina,37.9,42100.0,46407.0,88507,4973.0,6630.0,2.18,NC,Hispanic or Latino,4146
WEST PALM BEACH,Florida,39.6,49262.0,57520.0,106782,4917.0,30675.0,2.53,FL,Hispanic or Latino,26132
BAYONNE,New Jersey,39.7,32705.0,33598.0,66303,2225.0,21899.0,2.62,NJ,Black or African-American,7581
SHAWNEE,Kansas,40.1,32313.0,32745.0,65058,3575.0,4136.0,2.64,KS,Asian,3093
HOMESTEAD,Florida,31.4,31401.0,35099.0,66500,2287.0,24408.0,3.48,FL,Black or African-American,16705
NEW HAVEN,Connecticut,29.9,63765.0,66545.0,130310,2567.0,25871.0,2.48,CT,Black or African-American,43356
FAYETTEVILLE,North Carolina,30.7,101051.0,100914.0,201965,28089.0,12863.0,2.5,NC,Asian,8949
IOWA CITY,Iowa,25.5,37089.0,37138.0,74227,2047.0,9202.0,2.36,IA,Black or African-American,7219
IOWA CITY,Iowa,25.5,37089.0,37138.0,74227,2047.0,9202.0,2.36,IA,Asian,5533
IOWA CITY,Iowa,25.5,37089.0,37138.0,74227,2047.0,9202.0,2.36,IA,American Indian and Alaska Native,610
LOUISVILLE/JEFFERSON COUNTY METRO GOVERNMENT,Kentucky,37.5,298451.0,316938.0,615389,39364.0,37875.0,2.45,KY,Black or African-American,151256
NORTH CHARLESTON,South Carolina,30.7,56549.0,55315.0,111864,9651.0,8789.0,2.82,SC,Asian,4181
ARDEN-ARCADE,California,41.5,47596.0,48680.0,96276,6511.0,13458.0,2.18,CA,White,69369
SAN TAN VALLEY,Arizona,31.3,40429.0,42368.0,82797,4300.0,5757.0,3.44,AZ,Black or African-American,2027
LARGO,Florida,45.1,38166.0,42841.0,81007,8310.0,10489.0,2.28,FL,Asian,3249
CONCORD,California,39.6,62310.0,66358.0,128668,6287.0,37428.0,2.72,CA,American Indian and Alaska Native,1447
CARROLLTON,Texas,36.9,66928.0,66218.0,133146,5720.0,35327.0,2.78,TX,American Indian and Alaska Native,812
CHANDLER,Arizona,35.6,128885.0,131948.0,260833,15870.0,38721.0,2.78,AZ,Asian,33079
IRVINE,California,34.6,125411.0,131516.0,256927,5532.0,116366.0,2.73,CA,American Indian and Alaska Native,799
MEDFORD,Oregon,38.6,39606.0,40189.0,79795,6632.0,6185.0,2.65,OR,Black or African-American,1201
CORAL SPRINGS,Florida,37.2,63316.0,66186.0,129502,4724.0,38552.0,3.17,FL,Hispanic or Latino,40817
CORAL SPRINGS,Florida,37.2,63316.0,66186.0,129502,4724.0,38552.0,3.17,FL,Asian,6573
BOSSIER CITY,Louisiana,32.7,33428.0,34669.0,68097,8108.0,2980.0,2.4,LA,White,47454
BOSSIER CITY,Louisiana,32.7,33428.0,34669.0,68097,8108.0,2980.0,2.4,LA,American Indian and Alaska Native,630
WOODBURY,Minnesota,37.7,31982.0,35868.0,67850,2732.0,9477.0,2.72,MN,Asian,7758
BOSTON,Massachusetts,31.8,322149.0,347320.0,669469,18350.0,190123.0,2.38,MA,White,378543
FORT COLLINS,Colorado,29.6,80893.0,80288.0,161181,8425.0,9704.0,2.45,CO,Hispanic or Latino,15521
ATASCOCITA,Texas,32.8,37424.0,40816.0,78240,4416.0,8657.0,3.03,TX,Black or African-American,21491
PITTSBURG,California,34.5,33309.0,36118.0,69427,2109.0,21043.0,3.15,CA,Asian,13981
PITTSBURG,California,34.5,33309.0,36118.0,69427,2109.0,21043.0,3.15,CA,American Indian and Alaska Native,2253
SAN RAMON,California,39.1,39221.0,36911.0,76132,2855.0,29691.0,3.09,CA,American Indian and Alaska Native,609
ARLINGTON HEIGHTS,Illinois,45.9,37627.0,39369.0,76996,3027.0,14630.0,2.38,IL,Black or African-American,1222
RENO,Nevada,35.7,122292.0,119151.0,241443,17089.0,37070.0,2.46,NV,American Indian and Alaska Native,3872
JONESBORO,Arkansas,32.6,35666.0,38240.0,73906,3682.0,3222.0,2.44,AR,White,56626
EL MONTE,California,37.3,57961.0,58784.0,116745,1686.0,59655.0,3.67,CA,White,64138
TOPEKA,Kansas,37.1,60879.0,66378.0,127257,9608.0,6711.0,2.32,KS,Hispanic or Latino,18640
NEWPORT NEWS,Virginia,32.8,88385.0,94000.0,182385,18896.0,12589.0,2.46,VA,Hispanic or Latino,15780
MELBOURNE,Florida,43.4,39180.0,40956.0,80136,8363.0,9685.0,2.37,FL,White,65397
POINCIANA,Florida,34.2,38142.0,35801.0,73943,2933.0,14349.0,3.93,FL,Black or African-American,24750
WESTON,Florida,38.6,32956.0,36991.0,69947,1507.0,30876.0,3.34,FL,Asian,4130
MIAMI GARDENS,Florida,34.9,50719.0,62480.0,113199,2327.0,33394.0,3.75,FL,Hispanic or Latino,23287
TRENTON,New Jersey,33.3,42581.0,41650.0,84231,2604.0,20428.0,3.04,NJ,American Indian and Alaska Native,98
NORTH LITTLE ROCK,Arkansas,33.6,31671.0,34835.0,66506,4130.0,2787.0,2.62,AR,American Indian and Alaska Native,713
COMPTON,California,30.1,49264.0,49184.0,98448,897.0,30660.0,4.08,CA,Asian,1732
JURUPA VALLEY,California,33.8,49430.0,50884.0,100314,3833.0,25338.0,3.87,CA,Hispanic or Latino,66525
ATLANTA,Georgia,33.8,223960.0,239915.0,463875,18572.0,32016.0,2.15,GA,Hispanic or Latino,18653
FLOWER MOUND,Texas,40.2,35200.0,35824.0,71024,4217.0,6860.0,3.01,TX,Black or African-American,3559
SPOKANE,Washington,36.6,102756.0,110511.0,213267,18044.0,13253.0,2.34,WA,Black or African-American,10045
PHOENIX,Arizona,33.8,786833.0,776168.0,1563001,72388.0,300702.0,2.89,AZ,White,1161455
CEDAR PARK,Texas,34.4,31248.0,33589.0,64837,3090.0,5207.0,3.05,TX,White,56991
WILMINGTON,North Carolina,35.5,52346.0,63601.0,115947,5908.0,7401.0,2.24,NC,Black or African-American,23578
MERCED,California,29.7,40048.0,42392.0,82440,3723.0,16348.0,3.15,CA,Hispanic or Latino,43684
DEARBORN,Michigan,33.5,46482.0,48698.0,95180,3163.0,23920.0,3.04,MI,Black or African-American,3699
LEXINGTON-FAYETTE  COUNTY,Kentucky,34.4,154032.0,160456.0,314488,16661.0,28613.0,2.34,KY,Asian,14066
SHREVEPORT,Louisiana,35.2,93138.0,103856.0,196994,14287.0,5658.0,2.53,LA,Asian,4033
GREENVILLE,North Carolina,26.2,39897.0,50691.0,90588,4283.0,4183.0,2.4,NC,Asian,2787
ARVADA,Colorado,41.0,54870.0,60165.0,115035,8930.0,4921.0,2.49,CO,Black or African-American,2985
KENDALL,Florida,40.2,36658.0,39808.0,76466,1678.0,31180.0,2.81,FL,Black or African-American,2937
PALATINE,Illinois,38.0,36506.0,32763.0,69269,2629.0,21760.0,2.69,IL,Black or African-American,1822
PALATINE,Illinois,38.0,36506.0,32763.0,69269,2629.0,21760.0,2.69,IL,Asian,8145
COLUMBUS,Ohio,32.5,413981.0,435086.0,849067,40238.0,101129.0,2.4,OH,White,549468
SAN LEANDRO,California,41.8,43032.0,47679.0,90711,4111.0,34293.0,2.79,CA,American Indian and Alaska Native,1540
STAMFORD,Connecticut,35.4,64941.0,63936.0,128877,2269.0,44003.0,2.7,CT,Hispanic or Latino,33197
FRESNO,California,30.0,256130.0,263942.0,520072,18410.0,103453.0,3.12,CA,Asian,75318
SAN ANGELO,Texas,32.8,49669.0,50744.0,100413,8412.0,7859.0,2.5,TX,Asian,1658
PEMBROKE PINES,Florida,40.3,77050.0,89574.0,166624,6849.0,62210.0,2.94,FL,Black or African-American,34507
REDLANDS,California,36.2,33993.0,37035.0,71028,3445.0,8681.0,2.82,CA,Asian,6255
RIO RANCHO,New Mexico,38.3,47251.0,46904.0,94155,8527.0,5200.0,2.86,NM,Asian,2374
TOMS RIVER,New Jersey,43.7,43864.0,43886.0,87750,5042.0,6852.0,2.71,NJ,Black or African-American,3703
PASSAIC,New Jersey,30.4,36505.0,34577.0,71082,693.0,24174.0,3.56,NJ,Black or African-American,5230
PROVO,Utah,23.6,56231.0,59027.0,115258,2177.0,10925.0,3.28,UT,Asian,4104
SYRACUSE,New York,30.3,69462.0,74690.0,144152,5845.0,17733.0,2.39,NY,American Indian and Alaska Native,3606
LAKE CHARLES,Louisiana,31.8,35678.0,40388.0,76066,4477.0,3215.0,2.36,LA,American Indian and Alaska Native,592
NORTH RICHLAND HILLS,Texas,39.9,35257.0,33948.0,69205,5175.0,7854.0,2.64,TX,White,58258
JACKSON,Mississippi,31.7,79039.0,91772.0,170811,8146.0,1789.0,2.65,MS,Hispanic or Latino,3017
DENVER,Colorado,34.1,341137.0,341408.0,682545,29363.0,113222.0,2.33,CO,Asian,32491
BOISE,Idaho,34.9,110099.0,108181.0,218280,16004.0,13409.0,2.61,ID,American Indian and Alaska Native,4046
THOUSAND OAKS,California,44.8,65113.0,64216.0,129329,6323.0,25330.0,2.79,CA,Black or African-American,3229
PASSAIC,New Jersey,30.4,36505.0,34577.0,71082,693.0,24174.0,3.56,NJ,Hispanic or Latino,53680
PASSAIC,New Jersey,30.4,36505.0,34577.0,71082,693.0,24174.0,3.56,NJ,White,30352
BLOOMINGTON,Illinois,35.1,37972.0,40323.0,78295,3888.0,7287.0,2.34,IL,White,60652
CARMEL,Indiana,39.9,42928.0,46101.0,89029,2723.0,9645.0,2.71,IN,Asian,11223
ROCHESTER HILLS,Michigan,41.2,36356.0,37076.0,73432,3053.0,13708.0,2.66,MI,Black or African-American,3514
MINNEAPOLIS,Minnesota,32.4,206547.0,204388.0,410935,15217.0,70769.0,2.26,MN,White,277862
LAS CRUCES,New Mexico,32.7,47835.0,53809.0,101644,9421.0,11888.0,2.58,NM,Black or African-American,3825
YAKIMA,Washington,34.0,45147.0,48553.0,93700,4705.0,15717.0,2.74,WA,Asian,2248
PALMDALE,California,32.6,76361.0,81989.0,158350,6388.0,41974.0,3.54,CA,Black or African-American,27398
BALTIMORE,Maryland,34.7,294027.0,327822.0,621849,29540.0,49857.0,2.51,MD,Hispanic or Latino,29953
BALTIMORE,Maryland,34.7,294027.0,327822.0,621849,29540.0,49857.0,2.51,MD,Black or African-American,396270
INDIO,California,35.9,43803.0,43723.0,87526,3647.0,22538.0,3.08,CA,White,48562
FLORENCE-GRAHAM,California,30.2,34186.0,32173.0,66359,416.0,28696.0,4.57,CA,White,30591
FLORENCE-GRAHAM,California,30.2,34186.0,32173.0,66359,416.0,28696.0,4.57,CA,Black or African-American,5060
CENTREVILLE,Virginia,36.0,34749.0,37033.0,71782,3779.0,27797.0,2.97,VA,Black or African-American,6724
SANTA CLARITA,California,38.1,90192.0,92175.0,182367,8537.0,40666.0,3.02,CA,Asian,23168
DEERFIELD BEACH,Florida,41.4,37155.0,42614.0,79769,3882.0,23642.0,2.46,FL,Asian,1428
YORBA LINDA,California,45.5,31960.0,36006.0,67966,3171.0,15532.0,3.0,CA,Hispanic or Latino,10599
BUENA PARK,California,35.7,41593.0,41671.0,83264,3116.0,28430.0,3.55,CA,American Indian and Alaska Native,361
SAN CLEMENTE,California,45.2,34076.0,31456.0,65532,3970.0,8109.0,2.64,CA,Black or African-American,251
ROUND ROCK,Texas,34.9,56646.0,59193.0,115839,6804.0,18237.0,3.13,TX,Hispanic or Latino,37151
ROUND ROCK,Texas,34.9,56646.0,59193.0,115839,6804.0,18237.0,3.13,TX,American Indian and Alaska Native,1551
LAWRENCE,Kansas,27.4,45592.0,48324.0,93916,2986.0,8701.0,2.53,KS,Hispanic or Latino,6435
DENTON,Texas,28.7,62478.0,68569.0,131047,6352.0,18451.0,2.66,TX,Asian,7061
DOWNEY,California,37.3,53006.0,61205.0,114211,2281.0,39977.0,3.45,CA,Hispanic or Latino,84806
DOWNEY,California,37.3,53006.0,61205.0,114211,2281.0,39977.0,3.45,CA,Black or African-American,5498
LAFAYETTE,Louisiana,31.7,64018.0,63643.0,127661,5206.0,5396.0,2.54,LA,Asian,2776
CHINO HILLS,California,41.9,39639.0,38674.0,78313,3358.0,24764.0,3.05,CA,White,40030
LONG BEACH,California,34.6,238159.0,236013.0,474172,17463.0,127764.0,2.78,CA,American Indian and Alaska Native,12841
SPRINGFIELD,Massachusetts,31.8,74744.0,79592.0,154336,5723.0,16226.0,2.81,MA,Black or African-American,35284
FORT SMITH,Arkansas,34.9,43346.0,44849.0,88195,3408.0,13177.0,2.44,AR,American Indian and Alaska Native,2993
SAN BERNARDINO,California,28.5,108671.0,107466.0,216137,7741.0,55135.0,3.55,CA,White,123174
SAN BERNARDINO,California,28.5,108671.0,107466.0,216137,7741.0,55135.0,3.55,CA,American Indian and Alaska Native,4520
NEWPORT BEACH,California,46.8,43161.0,43970.0,87131,4847.0,15318.0,2.4,CA,Hispanic or Latino,8127
FALL RIVER,Massachusetts,39.3,43314.0,45456.0,88770,4143.0,14775.0,2.21,MA,Asian,1891
SPRINGFIELD,Illinois,38.8,55639.0,62170.0,117809,7525.0,4264.0,2.22,IL,Hispanic or Latino,2738
SPRINGFIELD,Illinois,38.8,55639.0,62170.0,117809,7525.0,4264.0,2.22,IL,American Indian and Alaska Native,1602
SCHENECTADY,New York,36.7,32398.0,32901.0,65299,3388.0,10961.0,2.82,NY,Asian,5140
SAINT PAUL,Minnesota,31.5,149547.0,151293.0,300840,10548.0,56514.0,2.58,MN,Asian,58174
PHILADELPHIA,Pennsylvania,34.1,741270.0,826172.0,1567442,61995.0,205339.0,2.61,PA,American Indian and Alaska Native,17500
MURFREESBORO,Tennessee,30.2,60704.0,65417.0,126121,5199.0,8948.0,2.6,TN,Hispanic or Latino,8840
PEARLAND,Texas,33.9,52336.0,59329.0,111665,5621.0,16882.0,3.0,TX,Hispanic or Latino,26460
SOUTH GATE,California,32.5,47758.0,48641.0,96399,724.0,40571.0,3.97,CA,White,55444
SOUTH GATE,California,32.5,47758.0,48641.0,96399,724.0,40571.0,3.97,CA,Black or African-American,1615
RACINE,Wisconsin,33.7,39314.0,38423.0,77737,4650.0,4403.0,2.56,WI,Hispanic or Latino,18215
VIRGINIA BEACH,Virginia,35.4,222684.0,230061.0,452745,54995.0,38360.0,2.61,VA,American Indian and Alaska Native,4590
BROWNSVILLE,Texas,30.6,87689.0,96199.0,183888,4211.0,53301.0,3.48,TX,Asian,1589
TRACY,California,35.5,43156.0,43937.0,87093,3025.0,25410.0,3.42,CA,White,58041
ASHEVILLE,North Carolina,37.9,42100.0,46407.0,88507,4973.0,6630.0,2.18,NC,Black or African-American,9078
ASHEVILLE,North Carolina,37.9,42100.0,46407.0,88507,4973.0,6630.0,2.18,NC,American Indian and Alaska Native,496
COSTA MESA,California,34.8,59097.0,54089.0,113186,4095.0,26645.0,2.59,CA,Asian,9165
INGLEWOOD,California,34.9,52995.0,58661.0,111656,2703.0,34171.0,3.12,CA,American Indian and Alaska Native,1395
BAYONNE,New Jersey,39.7,32705.0,33598.0,66303,2225.0,21899.0,2.62,NJ,White,41431
NEW HAVEN,Connecticut,29.9,63765.0,66545.0,130310,2567.0,25871.0,2.48,CT,Asian,7966
SALT LAKE CITY,Utah,32.1,98364.0,94296.0,192660,6829.0,32166.0,2.38,UT,Black or African-American,5365
TRENTON,New Jersey,33.3,42581.0,41650.0,84231,2604.0,20428.0,3.04,NJ,Black or African-American,43471
TYLER,Texas,33.9,50422.0,53283.0,103705,4813.0,8225.0,2.59,TX,American Indian and Alaska Native,1057
NAPA,California,37.2,39828.0,40601.0,80429,4678.0,18449.0,2.84,CA,Asian,3593
CENTENNIAL,Colorado,42.4,53222.0,56504.0,109726,7226.0,9501.0,2.66,CO,Black or African-American,4005
SUNRISE,Florida,37.7,41471.0,51235.0,92706,4108.0,38209.0,2.98,FL,Black or African-American,33951
LAWRENCE,Massachusetts,30.8,37464.0,42776.0,80240,1190.0,29170.0,3.17,MA,White,40757
LAWRENCE,Massachusetts,30.8,37464.0,42776.0,80240,1190.0,29170.0,3.17,MA,Black or African-American,9221
TUCSON,Arizona,33.6,264893.0,266781.0,531674,38182.0,82220.0,2.45,AZ,White,404342
WESTMINSTER,California,42.9,45538.0,46573.0,92111,3435.0,42227.0,3.27,CA,American Indian and Alaska Native,1022
COLUMBIA,Maryland,37.9,52202.0,51265.0,103467,6526.0,23249.0,2.68,MD,Hispanic or Latino,8033
COLUMBIA,Maryland,37.9,52202.0,51265.0,103467,6526.0,23249.0,2.68,MD,Asian,17821
FULLERTON,California,34.5,69549.0,71300.0,140849,5394.0,43404.0,2.97,CA,American Indian and Alaska Native,1668
LAKE FOREST,California,40.3,41515.0,40982.0,82497,3748.0,20784.0,2.76,CA,White,59846
STOCKTON,California,32.5,150976.0,154674.0,305650,12822.0,79583.0,3.16,CA,Asian,76859
CARROLLTON,Texas,36.9,66928.0,66218.0,133146,5720.0,35327.0,2.78,TX,Black or African-American,10923
CEDAR PARK,Texas,34.4,31248.0,33589.0,64837,3090.0,5207.0,3.05,TX,Black or African-American,3667
SAN ANTONIO,Texas,33.1,721405.0,748419.0,1469824,109089.0,208046.0,2.93,TX,White,1240092
OREM,Utah,26.1,48695.0,45762.0,94457,2828.0,12808.0,3.26,UT,White,85512
CHANDLER,Arizona,35.6,128885.0,131948.0,260833,15870.0,38721.0,2.78,AZ,American Indian and Alaska Native,6601
NORMAN,Oklahoma,30.9,59483.0,60814.0,120297,5578.0,8705.0,2.47,OK,White,106409
NORMAN,Oklahoma,30.9,59483.0,60814.0,120297,5578.0,8705.0,2.47,OK,Black or African-American,6620
YOUNGS,Ohio,37.5,30758.0,33851.0,64609,3620.0,1058.0,2.22,OH,American Indian and Alaska Native,875
LITTLE ROCK,Arkansas,36.6,96997.0,100989.0,197986,12343.0,16640.0,2.36,AR,American Indian and Alaska Native,961
ERIE,Pennsylvania,35.3,48618.0,50852.0,99470,7093.0,6275.0,2.31,PA,American Indian and Alaska Native,913
MOUNTAIN VIEW,California,33.5,42493.0,37945.0,80438,1376.0,31857.0,2.46,CA,American Indian and Alaska Native,577
HAYWARD,California,34.3,78152.0,80148.0,158300,4385.0,60970.0,3.32,CA,Hispanic or Latino,64880
BK,California,37.0,50405.0,54909.0,105314,4048.0,32435.0,2.52,CA,Asian,14636
EVANSTON,Illinois,36.8,34146.0,41377.0,75523,2058.0,15003.0,2.29,IL,Black or African-American,11671
YONKERS,New York,38.0,96580.0,104538.0,201118,4801.0,61247.0,2.8,NY,Asian,13981
LAKEWOOD,California,39.9,41523.0,40069.0,81592,4094.0,18274.0,3.13,CA,American Indian and Alaska Native,398
MIRAMAR,Florida,36.6,66157.0,70958.0,137115,3077.0,57179.0,3.41,FL,Asian,12084
LORAIN,Ohio,35.6,30844.0,32807.0,63651,4905.0,1531.0,2.52,OH,Asian,308
SANDY,Utah,34.6,46923.0,46689.0,93612,3451.0,6691.0,3.22,UT,White,85130
MORENO VALLEY,California,30.7,98584.0,105597.0,204181,8529.0,54442.0,3.9,CA,Black or African-American,35550
NAMPA,Idaho,31.4,45651.0,44199.0,89850,4736.0,6607.0,2.98,ID,White,80776
DELRAY BEACH,Florida,47.9,32219.0,34042.0,66261,4232.0,16639.0,2.35,FL,Asian,1696
RAPID CITY,South Dakota,39.5,36122.0,37446.0,73568,7429.0,2375.0,2.31,SD,Hispanic or Latino,2971
NEWPORT NEWS,Virginia,32.8,88385.0,94000.0,182385,18896.0,12589.0,2.46,VA,Black or African-American,79245
GREELEY,Colorado,31.0,50792.0,50091.0,100883,4294.0,11480.0,2.75,CO,Hispanic or Latino,39271
